"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2006","32","32000","Nevada","2,460,756","257,828","249,773","265,884","249,773 to 265,884","10.5","10.2","10.8","10.2 to 10.8","624,458","89,054","84,448","93,661","84,448 to 93,661","14.3","13.5","15.0","13.5 to 15.0","439,442","56,477","52,504","60,450","52,504 to 60,450","12.9","11.9","13.8","11.9 to 13.8","180,768","29,039","26,539","31,539","26,539 to 31,539","16.1","14.7","17.4","14.7 to 17.4","$52,800","$51,901","$53,699","$51,901 to $53,699"
"2005","32","32000","Nevada","2,364,153","263,522","254,075","272,970","254,075 to 272,970","11.1","10.7","11.5","10.7 to 11.5","601,987","92,648","87,125","98,171","87,125 to 98,171","15.4","14.5","16.3","14.5 to 16.3","431,679","58,687","54,270","63,104","54,270 to 63,104","13.6","12.6","14.6","12.6 to 14.6","166,887","31,154","28,108","34,200","28,108 to 34,200","18.7","16.8","20.5","16.8 to 20.5","$49,288","$48,498","$50,077","$48,498 to $50,077"
"2004","32","32000","Nevada","2,380,853","264,673","243,959","285,388","243,959 to 285,388","11.1","10.2","12.0","10.2 to 12.0","619,456","94,470","83,736","105,203","83,736 to 105,203","15.3","13.5","17.0","13.5 to 17.0","437,912","60,862","51,734","69,990","51,734 to 69,990","13.9","11.8","16.0","11.8 to 16.0","172,797","29,470","23,873","35,067","23,873 to 35,067","17.1","13.8","20.3","13.8 to 20.3","$47,231","$45,736","$48,725","$45,736 to $48,725"
"2003","32","32000","Nevada","2,296,726","251,744","235,959","267,529","235,959 to 267,529","11.0","10.3","11.6","10.3 to 11.6","598,777","91,399","82,756","100,043","82,756 to 100,043","15.3","13.8","16.7","13.8 to 16.7","423,908","59,296","52,565","66,027","52,565 to 66,027","14.0","12.4","15.6","12.4 to 15.6","166,324","27,486","22,198","32,773","22,198 to 32,773","16.5","13.3","19.7","13.3 to 19.7","$45,249","$43,826","$46,673","$43,826 to $46,673"
"2002","32","32000","Nevada","2,206,561","223,839","207,365","240,313","207,365 to 240,313","10.1","9.4","10.9","9.4 to 10.9","575,923","80,964","72,175","89,753","72,175 to 89,753","14.1","12.5","15.6","12.5 to 15.6","407,202","52,387","44,874","59,900","44,874 to 59,900","12.9","11.0","14.7","11.0 to 14.7","161,998","25,067","20,463","29,672","20,463 to 29,672","15.5","12.6","18.3","12.6 to 18.3","$44,560","$42,839","$46,280","$42,839 to $46,280"
"2001","32","32000","Nevada","2,126,572","197,386","182,073","212,699","182,073 to 212,699","9.3","8.6","10.0","8.6 to 10.0","558,204","69,592","59,725","79,458","59,725 to 79,458","12.5","10.7","14.2","10.7 to 14.2","395,445","44,314","35,790","52,838","35,790 to 52,838","11.2","9.1","13.4","9.1 to 13.4","155,327","21,953","17,806","26,100","17,806 to 26,100","14.1","11.5","16.8","11.5 to 16.8","$44,325","$42,817","$45,832","$42,817 to $45,832"
"2000","32","32000","Nevada","2,061,825","194,787","181,137","208,436","181,137 to 208,436","9.4","8.8","10.1","8.8 to 10.1","547,003","74,546","66,648","82,443","66,648 to 82,443","13.6","12.2","15.1","12.2 to 15.1","383,108","49,027","42,340","55,714","42,340 to 55,714","12.8","11.1","14.5","11.1 to 14.5","155,006","22,024","17,861","26,187","17,861 to 26,187","14.2","11.5","16.9","11.5 to 16.9","$44,698","$42,827","$46,568","$42,827 to $46,568"
"2012","33","33000","New Hampshire","1,280,031","123,773","117,494","130,052","117,494 to 130,052","9.7","9.2","10.2","9.2 to 10.2","269,959","36,837","33,736","39,938","33,736 to 39,938","13.6","12.5","14.7","12.5 to 14.7","203,708","24,911","22,126","27,696","22,126 to 27,696","12.2","10.8","13.6","10.8 to 13.6","64,455","10,504","9,227","11,781","9,227 to 11,781","16.3","14.3","18.3","14.3 to 18.3","$63,157","$61,881","$64,433","$61,881 to $64,433"
"2011","33","33000","New Hampshire","1,279,113","114,906","109,339","120,473","109,339 to 120,473","9.0","8.6","9.4","8.6 to 9.4","276,706","33,632","30,821","36,443","30,821 to 36,443","12.2","11.2","13.2","11.2 to 13.2","209,020","22,178","19,671","24,685","19,671 to 24,685","10.6","9.4","11.8","9.4 to 11.8","66,625","10,296","8,901","11,691","8,901 to 11,691","15.5","13.4","17.6","13.4 to 17.6","$62,436","$61,238","$63,634","$61,238 to $63,634"
"2010","33","33000","New Hampshire","1,276,605","110,096","104,548","115,644","104,548 to 115,644","8.6","8.2","9.0","8.2 to 9.0","282,396","30,481","27,601","33,361","27,601 to 33,361","10.8","9.8","11.8","9.8 to 11.8","212,585","19,067","16,551","21,583","16,551 to 21,583","9.0","7.8","10.2","7.8 to 10.2","68,447","10,138","8,895","11,381","8,895 to 11,381","14.8","13.0","16.6","13.0 to 16.6","$60,917","$59,946","$61,888","$59,946 to $61,888"
"2009","33","33000","New Hampshire","1,284,592","110,769","105,285","116,253","105,285 to 116,253","8.6","8.2","9.0","8.2 to 9.0","283,587","31,278","28,357","34,199","28,357 to 34,199","11.0","10.0","12.1","10.0 to 12.1","208,671","19,559","16,997","22,121","16,997 to 22,121","9.4","8.1","10.6","8.1 to 10.6","73,074","10,094","8,806","11,381","8,806 to 11,381","13.8","12.1","15.6","12.1 to 15.6","$60,734","$59,598","$61,871","$59,598 to $61,871"
"2008","33","33000","New Hampshire","1,277,395","99,939","94,520","105,357","94,520 to 105,357","7.8","7.4","8.2","7.4 to 8.2","288,818","27,280","24,734","29,826","24,734 to 29,826","9.4","8.6","10.3","8.6 to 10.3","213,189","16,714","14,462","18,966","14,462 to 18,966","7.8","6.8","8.9","6.8 to 8.9","74,192","8,954","7,787","10,121","7,787 to 10,121","12.1","10.5","13.6","10.5 to 13.6","$63,235","$61,813","$64,657","$61,813 to $64,657"
"2007","33","33000","New Hampshire","1,274,807","93,005","88,205","97,805","88,205 to 97,805","7.3","6.9","7.7","6.9 to 7.7","292,137","26,813","24,220","29,405","24,220 to 29,405","9.2","8.3","10.1","8.3 to 10.1","216,842","17,188","14,866","19,510","14,866 to 19,510","7.9","6.9","9.0","6.9 to 9.0","73,827","8,019","6,987","9,050","6,987 to 9,050","10.9","9.5","12.3","9.5 to 12.3","$62,048","$61,056","$63,040","$61,056 to $63,040"
"2006","33","33000","New Hampshire","1,276,751","101,872","97,269","106,474","97,269 to 106,474","8.0","7.6","8.3","7.6 to 8.3","292,208","28,002","25,596","30,409","25,596 to 30,409","9.6","8.8","10.4","8.8 to 10.4","217,713","17,310","15,140","19,480","15,140 to 19,480","8.0","7.0","8.9","7.0 to 8.9","72,471","8,809","7,743","9,875","7,743 to 9,875","12.2","10.7","13.6","10.7 to 13.6","$59,265","$58,249","$60,282","$58,249 to $60,282"
"2005","33","33000","New Hampshire","1,267,775","96,389","91,540","101,238","91,540 to 101,238","7.6","7.2","8.0","7.2 to 8.0","297,222","28,179","25,635","30,723","25,635 to 30,723","9.5","8.6","10.3","8.6 to 10.3","224,020","17,856","15,684","20,028","15,684 to 20,028","8.0","7.0","8.9","7.0 to 8.9","71,672","8,786","7,524","10,048","7,524 to 10,048","12.3","10.5","14.0","10.5 to 14.0","$56,557","$55,689","$57,425","$55,689 to $57,425"
"2004","33","33000","New Hampshire","1,290,348","85,093","73,710","96,475","73,710 to 96,475","6.6","5.7","7.5","5.7 to 7.5","302,940","26,642","21,846","31,438","21,846 to 31,438","8.8","7.2","10.4","7.2 to 10.4","226,166","17,353","13,167","21,539","13,167 to 21,539","7.7","5.8","9.5","5.8 to 9.5","72,658","7,451","5,435","9,468","5,435 to 9,468","10.3","7.5","13.0","7.5 to 13.0","$53,377","$51,619","$55,135","$51,619 to $55,135"
"2003","33","33000","New Hampshire","1,279,391","81,779","73,264","90,294","73,264 to 90,294","6.4","5.7","7.1","5.7 to 7.1","304,957","23,776","19,792","27,761","19,792 to 27,761","7.8","6.5","9.1","6.5 to 9.1","228,883","13,140","9,999","16,281","9,999 to 16,281","5.7","4.4","7.1","4.4 to 7.1","72,052","8,826","6,588","11,065","6,588 to 11,065","12.2","9.1","15.4","9.1 to 15.4","$52,409","$50,698","$54,121","$50,698 to $54,121"
"2002","33","33000","New Hampshire","1,270,389","79,467","70,879","88,055","70,879 to 88,055","6.3","5.6","6.9","5.6 to 6.9","305,853","20,254","16,089","24,419","16,089 to 24,419","6.6","5.3","8.0","5.3 to 8.0","228,692","14,071","10,497","17,645","10,497 to 17,645","6.2","4.6","7.7","4.6 to 7.7","73,271","4,991","2,998","6,985","2,998 to 6,985","6.8","4.1","9.5","4.1 to 9.5","$51,550","$49,429","$53,671","$49,429 to $53,671"
"2001","33","33000","New Hampshire","1,250,507","74,929","67,174","82,685","67,174 to 82,685","6.0","5.4","6.6","5.4 to 6.6","302,679","21,866","17,145","26,587","17,145 to 26,587","7.2","5.7","8.8","5.7 to 8.8","227,478","13,482","9,369","17,595","9,369 to 17,595","5.9","4.1","7.7","4.1 to 7.7","71,382","6,250","4,498","8,001","4,498 to 8,001","8.8","6.3","11.2","6.3 to 11.2","$50,898","$49,280","$52,515","$49,280 to $52,515"
"2000","33","33000","New Hampshire","1,237,370","69,857","61,954","77,760","61,954 to 77,760","5.6","5.0","6.3","5.0 to 6.3","304,463","20,938","16,869","25,007","16,869 to 25,007","6.9","5.5","8.2","5.5 to 8.2","224,772","11,714","8,249","15,179","8,249 to 15,179","5.2","3.7","6.8","3.7 to 6.8","73,604","7,441","5,449","9,434","5,449 to 9,434","10.1","7.4","12.8","7.4 to 12.8","$49,830","$47,841","$51,820","$47,841 to $51,820"
"2012","34","34000","New Jersey","8,691,686","934,277","918,190","950,364","918,190 to 950,364","10.7","10.5","10.9","10.5 to 10.9","2,007,503","308,293","298,223","318,363","298,223 to 318,363","15.4","14.9","15.9","14.9 to 15.9","1,481,911","208,759","199,984","217,534","199,984 to 217,534","14.1","13.5","14.7","13.5 to 14.7","519,839","94,198","89,113","99,283","89,113 to 99,283","18.1","17.1","19.1","17.1 to 19.1","$69,705","$69,020","$70,390","$69,020 to $70,390"
"2011","34","34000","New Jersey","8,646,604","897,916","879,759","916,073","879,759 to 916,073","10.4","10.2","10.6","10.2 to 10.6","2,021,496","295,301","283,981","306,621","283,981 to 306,621","14.6","14.0","15.2","14.0 to 15.2","1,490,949","196,172","186,183","206,161","186,183 to 206,161","13.2","12.5","13.9","12.5 to 13.9","526,548","94,942","89,491","100,393","89,491 to 100,393","18.0","17.0","19.0","17.0 to 19.0","$67,574","$66,885","$68,263","$66,885 to $68,263"
"2010","34","34000","New Jersey","8,626,505","883,643","865,040","902,246","865,040 to 902,246","10.2","10.0","10.4","10.0 to 10.4","2,041,662","292,455","281,736","303,174","281,736 to 303,174","14.3","13.8","14.8","13.8 to 14.8","1,502,213","196,338","187,443","205,233","187,443 to 205,233","13.1","12.5","13.7","12.5 to 13.7","532,511","89,521","84,089","94,953","84,089 to 94,953","16.8","15.8","17.8","15.8 to 17.8","$67,719","$67,011","$68,427","$67,011 to $68,427"
"2009","34","34000","New Jersey","8,531,186","798,258","778,838","817,678","778,838 to 817,678","9.4","9.1","9.6","9.1 to 9.6","2,023,720","269,659","258,385","280,932","258,385 to 280,932","13.3","12.8","13.9","12.8 to 13.9","1,470,781","177,219","167,612","186,826","167,612 to 186,826","12.0","11.4","12.7","11.4 to 12.7","545,852","85,830","80,135","91,524","80,135 to 91,524","15.7","14.7","16.8","14.7 to 16.8","$68,444","$67,816","$69,071","$67,816 to $69,071"
"2008","34","34000","New Jersey","8,504,301","740,069","722,431","757,707","722,431 to 757,707","8.7","8.5","8.9","8.5 to 8.9","2,025,990","248,667","238,350","258,983","238,350 to 258,983","12.3","11.8","12.8","11.8 to 12.8","1,467,501","161,659","152,904","170,414","152,904 to 170,414","11.0","10.4","11.6","10.4 to 11.6","548,179","77,619","72,189","83,049","72,189 to 83,049","14.2","13.2","15.1","13.2 to 15.1","$70,347","$69,838","$70,855","$69,838 to $70,855"
"2007","34","34000","New Jersey","8,505,938","725,723","708,973","742,473","708,973 to 742,473","8.5","8.3","8.7","8.3 to 8.7","2,040,721","233,126","222,895","243,357","222,895 to 243,357","11.4","10.9","11.9","10.9 to 11.9","1,485,191","154,235","145,332","163,138","145,332 to 163,138","10.4","9.8","11.0","9.8 to 11.0","547,563","71,943","66,822","77,064","66,822 to 77,064","13.1","12.2","14.1","12.2 to 14.1","$67,142","$66,589","$67,694","$66,589 to $67,694"
"2006","34","34000","New Jersey","8,540,398","740,721","723,870","757,571","723,870 to 757,571","8.7","8.5","8.9","8.5 to 8.9","2,064,550","240,770","230,862","250,678","230,862 to 250,678","11.7","11.2","12.1","11.2 to 12.1","1,504,888","161,972","153,146","170,798","153,146 to 170,798","10.8","10.2","11.3","10.2 to 11.3","552,267","71,817","67,479","76,155","67,479 to 76,155","13.0","12.2","13.8","12.2 to 13.8","$64,549","$63,930","$65,168","$63,930 to $65,168"
"2005","34","34000","New Jersey","8,500,248","738,104","717,779","758,430","717,779 to 758,430","8.7","8.4","8.9","8.4 to 8.9","2,133,958","249,393","238,406","260,381","238,406 to 260,381","11.7","11.2","12.2","11.2 to 12.2","1,550,028","165,069","156,062","174,076","156,062 to 174,076","10.6","10.1","11.2","10.1 to 11.2","575,380","77,060","71,156","82,965","71,156 to 82,965","13.4","12.4","14.4","12.4 to 14.4","$61,694","$61,190","$62,198","$61,190 to $62,198"
"2004","34","34000","New Jersey","8,567,558","717,238","653,722","780,754","653,722 to 780,754","8.4","7.6","9.1","7.6 to 9.1","2,158,960","220,389","187,359","253,420","187,359 to 253,420","10.2","8.7","11.7","8.7 to 11.7","1,558,801","148,348","118,936","177,760","118,936 to 177,760","9.5","7.6","11.4","7.6 to 11.4","577,693","62,877","47,771","77,983","47,771 to 77,983","10.9","8.3","13.5","8.3 to 13.5","$57,338","$55,557","$59,119","$55,557 to $59,119"
"2003","34","34000","New Jersey","8,547,233","758,459","707,421","809,496","707,421 to 809,496","8.9","8.3","9.5","8.3 to 9.5","2,155,693","254,007","227,558","280,456","227,558 to 280,456","11.8","10.6","13.0","10.6 to 13.0","1,556,643","155,082","135,126","175,038","135,126 to 175,038","10.0","8.7","11.2","8.7 to 11.2","574,962","88,701","71,770","105,633","71,770 to 105,633","15.4","12.5","18.4","12.5 to 18.4","$56,356","$54,680","$58,033","$54,680 to $58,033"
"2002","34","34000","New Jersey","8,493,934","707,808","656,605","759,010","656,605 to 759,010","8.3","7.7","8.9","7.7 to 8.9","2,122,386","220,320","193,865","246,774","193,865 to 246,774","10.4","9.1","11.6","9.1 to 11.6","1,533,167","151,781","128,643","174,919","128,643 to 174,919","9.9","8.4","11.4","8.4 to 11.4","564,958","60,167","46,758","73,576","46,758 to 73,576","10.6","8.3","13.0","8.3 to 13.0","$54,932","$53,059","$56,805","$53,059 to $56,805"
"2001","34","34000","New Jersey","8,404,647","658,754","613,210","704,298","613,210 to 704,298","7.8","7.3","8.4","7.3 to 8.4","2,097,326","211,314","181,865","240,763","181,865 to 240,763","10.1","8.7","11.5","8.7 to 11.5","1,529,415","141,245","115,434","167,056","115,434 to 167,056","9.2","7.5","10.9","7.5 to 10.9","553,469","61,903","50,464","73,342","50,464 to 73,342","11.2","9.1","13.3","9.1 to 13.3","$54,506","$52,769","$56,242","$52,769 to $56,242"
"2000","34","34000","New Jersey","8,348,253","647,694","601,743","693,645","601,743 to 693,645","7.8","7.2","8.3","7.2 to 8.3","2,092,943","220,720","195,543","245,896","195,543 to 245,896","10.5","9.3","11.7","9.3 to 11.7","1,520,631","143,205","121,926","164,484","121,926 to 164,484","9.4","8.0","10.8","8.0 to 10.8","557,766","68,511","55,528","81,494","55,528 to 81,494","12.3","10.0","14.6","10.0 to 14.6","$52,990","$50,956","$55,023","$50,956 to $55,023"
"2012","35","35000","New Mexico","2,044,796","421,123","411,829","430,417","411,829 to 430,417","20.6","20.1","21.1","20.1 to 21.1","507,677","146,710","141,848","151,572","141,848 to 151,572","28.9","27.9","29.9","27.9 to 29.9","365,047","98,654","94,470","102,838","94,470 to 102,838","27.0","25.9","28.1","25.9 to 28.1","141,186","46,398","43,975","48,821","43,975 to 48,821","32.9","31.2","34.6","31.2 to 34.6","$42,828","$41,985","$43,671","$41,985 to $43,671"
"2011","35","35000","New Mexico","2,042,517","427,340","416,881","437,799","416,881 to 437,799","20.9","20.4","21.4","20.4 to 21.4","513,660","150,984","145,435","156,533","145,435 to 156,533","29.4","28.3","30.5","28.3 to 30.5","369,384","100,777","95,994","105,560","95,994 to 105,560","27.3","26.0","28.6","26.0 to 28.6","143,159","48,612","45,588","51,636","45,588 to 51,636","34.0","31.9","36.1","31.9 to 36.1","$42,097","$41,340","$42,854","$41,340 to $42,854"
"2010","35","35000","New Mexico","2,024,711","400,779","389,376","412,182","389,376 to 412,182","19.8","19.2","20.4","19.2 to 20.4","512,149","145,779","139,740","151,818","139,740 to 151,818","28.5","27.3","29.7","27.3 to 29.7","367,326","98,187","92,895","103,479","92,895 to 103,479","26.7","25.3","28.1","25.3 to 28.1","142,191","45,529","42,920","48,138","42,920 to 48,138","32.0","30.2","33.8","30.2 to 33.8","$42,186","$41,505","$42,867","$41,505 to $42,867"
"2009","35","35000","New Mexico","1,968,129","359,030","348,063","369,998","348,063 to 369,998","18.2","17.7","18.8","17.7 to 18.8","502,586","129,552","124,002","135,103","124,002 to 135,103","25.8","24.7","26.9","24.7 to 26.9","350,611","83,598","79,013","88,183","79,013 to 88,183","23.8","22.5","25.2","22.5 to 25.2","149,459","43,951","40,945","46,958","40,945 to 46,958","29.4","27.4","31.4","27.4 to 31.4","$42,830","$41,910","$43,749","$41,910 to $43,749"
"2008","35","35000","New Mexico","1,941,423","329,857","321,518","338,196","321,518 to 338,196","17.0","16.6","17.4","16.6 to 17.4","493,065","118,793","113,851","123,735","113,851 to 123,735","24.1","23.1","25.1","23.1 to 25.1","345,695","76,128","71,769","80,487","71,769 to 80,487","22.0","20.8","23.3","20.8 to 23.3","145,651","40,670","38,259","43,080","38,259 to 43,080","27.9","26.3","29.6","26.3 to 29.6","$43,719","$42,848","$44,590","$42,848 to $44,590"
"2007","35","35000","New Mexico","1,925,456","344,060","335,083","353,036","335,083 to 353,036","17.9","17.4","18.3","17.4 to 18.3","489,596","123,571","118,875","128,268","118,875 to 128,268","25.2","24.3","26.2","24.3 to 26.2","344,510","78,583","74,412","82,754","74,412 to 82,754","22.8","21.6","24.0","21.6 to 24.0","142,042","42,245","40,040","44,450","40,040 to 44,450","29.7","28.2","31.3","28.2 to 31.3","$41,509","$40,869","$42,148","$40,869 to $42,148"
"2006","35","35000","New Mexico","1,912,304","350,120","342,066","358,174","342,066 to 358,174","18.3","17.9","18.7","17.9 to 18.7","498,878","127,618","123,270","131,966","123,270 to 131,966","25.6","24.7","26.5","24.7 to 26.5","357,363","84,367","80,510","88,224","80,510 to 88,224","23.6","22.5","24.7","22.5 to 24.7","139,527","40,718","38,644","42,792","38,644 to 42,792","29.2","27.7","30.7","27.7 to 30.7","$40,610","$39,949","$41,271","$39,949 to $41,271"
"2005","35","35000","New Mexico","1,878,470","345,231","337,115","353,347","337,115 to 353,347","18.4","17.9","18.8","17.9 to 18.8","478,394","124,352","119,828","128,877","119,828 to 128,877","26.0","25.0","26.9","25.0 to 26.9","344,253","82,630","78,815","86,445","78,815 to 86,445","24.0","22.9","25.1","22.9 to 25.1","131,051","39,040","36,818","41,261","36,818 to 41,261","29.8","28.1","31.5","28.1 to 31.5","$37,603","$36,915","$38,291","$36,915 to $38,291"
"2004","35","35000","New Mexico","1,897,265","316,088","296,900","335,276","296,900 to 335,276","16.7","15.6","17.7","15.6 to 17.7","489,870","116,631","106,968","126,293","106,968 to 126,293","23.8","21.8","25.8","21.8 to 25.8","351,750","75,513","67,028","83,998","67,028 to 83,998","21.5","19.1","23.9","19.1 to 23.9","133,961","37,307","32,876","41,738","32,876 to 41,738","27.8","24.5","31.2","24.5 to 31.2","$37,838","$36,237","$39,439","$36,237 to $39,439"
"2003","35","35000","New Mexico","1,871,181","330,759","314,775","346,744","314,775 to 346,744","17.7","16.8","18.5","16.8 to 18.5","491,177","126,920","118,371","135,469","118,371 to 135,469","25.8","24.1","27.6","24.1 to 27.6","352,378","85,331","78,560","92,102","78,560 to 92,102","24.2","22.3","26.1","22.3 to 26.1","131,496","38,728","33,713","43,742","33,713 to 43,742","29.5","25.6","33.3","25.6 to 33.3","$35,091","$33,640","$36,542","$33,640 to $36,542"
"2002","35","35000","New Mexico","1,847,779","327,444","311,714","343,174","311,714 to 343,174","17.7","16.9","18.6","16.9 to 18.6","500,770","126,361","117,491","135,232","117,491 to 135,232","25.2","23.5","27.0","23.5 to 27.0","356,151","82,281","74,787","89,775","74,787 to 89,775","23.1","21.0","25.2","21.0 to 25.2","132,208","40,213","35,524","44,902","35,524 to 44,902","30.4","26.9","34.0","26.9 to 34.0","$34,827","$33,105","$36,549","$33,105 to $36,549"
"2001","35","35000","New Mexico","1,812,669","326,653","311,872","341,434","311,872 to 341,434","18.0","17.2","18.8","17.2 to 18.8","491,764","127,489","117,297","137,680","117,297 to 137,680","25.9","23.9","28.0","23.9 to 28.0","353,370","83,801","74,804","92,798","74,804 to 92,798","23.7","21.2","26.3","21.2 to 26.3","130,647","39,189","35,195","43,183","35,195 to 43,183","30.0","26.9","33.1","26.9 to 33.1","$33,733","$32,299","$35,168","$32,299 to $35,168"
"2000","35","35000","New Mexico","1,791,548","309,103","293,536","324,669","293,536 to 324,669","17.3","16.4","18.1","16.4 to 18.1","489,729","124,940","115,353","134,527","115,353 to 134,527","25.5","23.6","27.5","23.6 to 27.5","350,841","85,686","77,390","93,982","77,390 to 93,982","24.4","22.1","26.8","22.1 to 26.8","129,950","34,641","30,055","39,227","30,055 to 39,227","26.7","23.1","30.2","23.1 to 30.2","$34,487","$32,633","$36,341","$32,633 to $36,341"
"2012","36","36000","New York","19,064,060","3,040,207","3,009,308","3,071,106","3,009,308 to 3,071,106","15.9","15.7","16.1","15.7 to 16.1","4,200,651","968,025","951,475","984,575","951,475 to 984,575","23.0","22.6","23.4","22.6 to 23.4","3,040,649","658,627","644,269","672,985","644,269 to 672,985","21.7","21.2","22.2","21.2 to 22.2","1,145,002","295,328","287,185","303,471","287,185 to 303,471","25.8","25.1","26.5","25.1 to 26.5","$56,357","$55,989","$56,725","$55,989 to $56,725"
"2011","36","36000","New York","18,953,964","3,043,461","3,011,369","3,075,553","3,011,369 to 3,075,553","16.1","15.9","16.3","15.9 to 16.3","4,219,908","960,956","943,495","978,417","943,495 to 978,417","22.8","22.4","23.2","22.4 to 23.2","3,064,631","658,371","643,729","673,013","643,729 to 673,013","21.5","21.0","22.0","21.0 to 22.0","1,137,661","286,025","276,658","295,392","276,658 to 295,392","25.1","24.3","25.9","24.3 to 25.9","$55,147","$54,754","$55,540","$54,754 to $55,540"
"2010","36","36000","New York","18,879,724","2,840,564","2,806,009","2,875,119","2,806,009 to 2,875,119","15.0","14.8","15.2","14.8 to 15.2","4,250,253","912,004","893,606","930,402","893,606 to 930,402","21.5","21.1","21.9","21.1 to 21.9","3,102,874","621,649","605,530","637,768","605,530 to 637,768","20.0","19.5","20.5","19.5 to 20.5","1,131,352","275,636","266,722","284,550","266,722 to 284,550","24.4","23.6","25.2","23.6 to 25.2","$54,047","$53,677","$54,417","$53,677 to $54,417"
"2009","36","36000","New York","19,014,189","2,708,119","2,674,503","2,741,735","2,674,503 to 2,741,735","14.2","14.1","14.4","14.1 to 14.4","4,354,425","878,114","860,048","896,180","860,048 to 896,180","20.2","19.8","20.6","19.8 to 20.6","3,138,545","590,889","575,090","606,688","575,090 to 606,688","18.8","18.3","19.3","18.3 to 19.3","1,198,533","272,021","263,055","280,987","263,055 to 280,987","22.7","21.9","23.4","21.9 to 23.4","$54,554","$54,164","$54,945","$54,164 to $54,945"
"2008","36","36000","New York","18,964,468","2,595,816","2,564,837","2,626,795","2,564,837 to 2,626,795","13.7","13.5","13.9","13.5 to 13.9","4,342,305","837,435","821,102","853,768","821,102 to 853,768","19.3","18.9","19.7","18.9 to 19.7","3,144,252","576,856","563,424","590,288","563,424 to 590,288","18.3","17.9","18.8","17.9 to 18.8","1,181,062","245,206","236,112","254,301","236,112 to 254,301","20.8","20.0","21.5","20.0 to 21.5","$55,980","$55,603","$56,356","$55,603 to $56,356"
"2007","36","36000","New York","18,775,321","2,584,756","2,554,092","2,615,420","2,554,092 to 2,615,420","13.8","13.6","13.9","13.6 to 13.9","4,348,793","852,172","834,709","869,635","834,709 to 869,635","19.6","19.2","20.0","19.2 to 20.0","3,147,813","576,131","561,052","591,210","561,052 to 591,210","18.3","17.8","18.8","17.8 to 18.8","1,178,252","256,117","246,960","265,275","246,960 to 265,275","21.7","21.0","22.5","21.0 to 22.5","$53,448","$53,103","$53,792","$53,103 to $53,792"
"2006","36","36000","New York","18,770,144","2,670,773","2,642,290","2,699,255","2,642,290 to 2,699,255","14.2","14.1","14.4","14.1 to 14.4","4,434,945","892,463","875,214","909,712","875,214 to 909,712","20.1","19.7","20.5","19.7 to 20.5","3,214,314","610,054","595,231","624,877","595,231 to 624,877","19.0","18.5","19.4","18.5 to 19.4","1,198,168","262,323","253,036","271,610","253,036 to 271,610","21.9","21.1","22.7","21.1 to 22.7","$51,340","$51,088","$51,593","$51,088 to $51,593"
"2005","36","36000","New York","18,589,160","2,584,485","2,549,481","2,619,489","2,549,481 to 2,619,489","13.9","13.7","14.1","13.7 to 14.1","4,448,239","875,086","854,707","895,464","854,707 to 895,464","19.7","19.2","20.1","19.2 to 20.1","3,203,136","594,230","576,850","611,610","576,850 to 611,610","18.6","18.0","19.1","18.0 to 19.1","1,221,706","261,354","250,760","271,948","250,760 to 271,948","21.4","20.5","22.3","20.5 to 22.3","$49,365","$48,953","$49,776","$48,953 to $49,776"
